"UUID","Context","Default","Translated","Notes"
"b6aa895f73864079bc5ae745234faf68","_UtilGetCharacterName.b.choices","None","",""
"ff908d9f4b2f49ad933936eb15007916","_UtilGetCharacterName.b.choices","Kaidan","",""
"b972e06510a54d6c9151941bf3d9d54c","_UtilGetCharacterName.b.choices","Solus","",""
"85b9a4c277b9472c93fa50fc0f3bec3a","_UtilGetCharacterName.b.choices","Rosan","",""
"c27facd82bbb4b1a819759eead2fd735","_UtilGetCharacterName.b.choices","Volar","",""
"2bd954f8fab04e21b813656b58829b83","_UtilGetCharacterPronoun.b.b","him","",""
"b8c8ba67343f4049a538f169c381b07b","_UtilGetCharacterPronoun.b.b","he","",""
"31779e69b0ce48a2a071c03b2213c61a","_UtilGetCharacterPronoun.b.b","her","",""
"44838b53b88148a89a3316e71500be99","_UtilGetCharacterPronoun.b.b","she","",""
"b82e6720935846bb9bc70a241a051367","_UtilGetCharacterPronoun.b.b","them","",""
"ea3db9f96ffd4b3db732c7e1a17c8b84","_UtilGetCharacterPronoun.b.b","they","",""
"af30434b3d134f3785f80db1bc0f4597","KnowledgeInit.choices","Knowledge","",""
"93280b012d1540d5b2ea52435aecc94f","KnowledgeInit.b.choices","Knowledge","",""
"20e592c9fdb0481c8633bd287260f876","KnowledgeSet.choices","Knowledge","",""
"685da2f2f11b4dde86c776ca8a1ba1b8","KnowledgeIsKnown.choices","Knowledge","",""
"23873575e24d4fd3a9c7e30e706f45dc","FactionInit.choices","Factions","",""
"a71b94e2f3804450a25cd3439bb931c5","FactionInit.b.choices","Factions","",""
"81c5f94df6c344c59532f532a0692abc","FactionAddScore.choices","Factions","",""
"47ecf0583cd64417b40747750cb86607","FactionGetAlignment.choices","Factions","",""
"62b8e7d8707a488c8c68f62d28e074aa","ThoridonThirdEraGoToLandmark.b.choices","north","",""
"637579b956004951b0bda9bf158836ce","ThoridonThirdEraGoToLandmark.b.choices","northeast","",""
"de2ca9fd981e4e369f226353d19e3cd1","ThoridonThirdEraGoToLandmark.b.choices","northwest","",""
"de76b0fa6ce741269883c1ff3c916216","ThoridonThirdEraGoToLandmark.b.choices","south","",""
"03d8cb580937434791322da62e4a91ed","ThoridonThirdEraGoToLandmark.b.choices","southeast","",""
"dea1d50a4a56499fb404071f8013a3f7","ThoridonThirdEraGoToLandmark.b.choices","southwest","",""
"9a13abaaeb0745bda5f9824d45afb939","ThoridonThirdEraGoToLandmark.b.choices","east","",""
"429640135db346a4a1b939880584e1ca","ThoridonThirdEraGoToLandmark.b.choices","west","",""
"ef7356cfb9144e659e9c16e35b3559e9","ThoridonThirdEraGoToLandmark.b.choices","A","",""
"717b3aa831a04bce916ba420b27f002f","ThoridonThirdEraGoToLandmark.b.b.choices","Quadrangle","",""
"f7bbd09c2b9844aaaa5b126931080a7b","ThoridonThirdEraGoToLandmark.b.choices","B","",""
"426ffcb90c34405c926e22265b8052cb","ThoridonThirdEraGoToLandmark.b.b.choices","Senate House","",""
"10b79bb103f64ab1850538b244a097d2","ThoridonThirdEraGoToLandmark.b.choices","C","",""
"3037a16432f1481ea73f93bd0c50b21d","ThoridonThirdEraGoToLandmark.b.b.choices","Temple of Ramor","",""
"0b996345788a499597c30ad7fc668a02","ThoridonThirdEraGoToLandmark.b.choices","D","",""
"e0620ca0328f4b99ac9a61d622eee88e","ThoridonThirdEraGoToLandmark.b.b.choices","Synth Institute","",""
"5786e765ca9a41659996119d501abf02","ThoridonThirdEraGoToLandmark.b.choices","E","",""
"e45f1924acef4cefbf293ff86c2ff83e","ThoridonThirdEraGoToLandmark.b.b.choices","Osshek Gatehouse","",""
"24b998daf1f544a9a409fc1f93846552","ThoridonThirdEraGoToLandmark.b.choices","F","",""
"ec427898162d4ce6bf8b4bb89b2a86fd","ThoridonThirdEraGoToLandmark.b.b.choices","Hall of Legends","",""
"98abaa56a6074636840b5a5113de7ba2","ThoridonThirdEraGoToLandmark.b.choices","G","",""
"65946b60e7094f649c7e36291a5f51f8","ThoridonThirdEraGoToLandmark.b.b.choices","Guardhouse","",""
"a21e907442ab4cce85252e0ee5ae6073","ThoridonThirdEraGoToLandmark.b.choices","H","",""
"1d1c2c605d564d4f979fa801929688db","ThoridonThirdEraGoToLandmark.b.b.choices","People's Union Marketplace","",""
"404bb13717a04696a39e26b9f17ce178","ThoridonThirdEraGoToLandmark.b.choices","I","",""
"e64fb06091c04a75a36bd4bc85653d65","ThoridonThirdEraGoToLandmark.b.b.choices","People's Union Old Marketplace","",""
"1cf7018ec01248ecaa800d071eb1eeba","ThoridonThirdEraGoToLandmark.b.choices","J","",""
"6f9850210266406699cd3cc38e41694a","ThoridonThirdEraGoToLandmark.b.b.choices","Home of Kaidan","",""
"fa251757efb240f08663b7bd100f7d17","ThoridonThirdEraGoToLandmark.b.choices","K","",""
"d30e935325af49048365392da35738bd","ThoridonThirdEraGoToLandmark.b.b.choices","Emperor's Residence","",""
"b1d1fc33af8d4ee99c27cfa13783a462","ThoridonThirdEraGoToLandmark.b.choices","L","",""
"697dba4d7fe945d1a4f9abd491deae9f","ThoridonThirdEraGoToLandmark.b.b.choices","Old Gatehouse Inn","",""
"f8afe232e43245d4a6c9367a6a496593","ThoridonThirdEraGoToLandmark.b.choices","M","",""
"c2eaa61b84f34426b8aa1f01436506b5","ThoridonThirdEraGoToLandmark.b.b.choices","The Blue Cask","",""
"ba6d5134a29a463789f04888233fdf5a","ThoridonThirdEraGoToLandmark.b.choices","N","",""
"8abe2cd442c04e7d9933c9152a6d0954","ThoridonThirdEraGoToLandmark.b.b.choices","Hexard district","",""
"cab31c631ce145c9862ee61f56f8441d","ThoridonThirdEraGoToLandmark.b.choices","O","",""
"e2c44f3ff43e4f35a2f8419bc6ca7187","ThoridonThirdEraGoToLandmark.b.b.choices","Dagard district","",""
"11924d03cee7456d9a0ff5a35a1a9051","ThoridonThirdEraGoToLandmark.b.choices","P","",""
"12ae3db9345649ad930334e35ba2291d","ThoridonThirdEraGoToLandmark.b.b.choices","Nador district","",""
"e0f1e552c45949789878e768cc9c0869","ThoridonThirdEraGoToLandmark.b.choices","Q","",""
"2d4b817ffd3645e7961f9ae20d439ce6","ThoridonThirdEraGoToLandmark.b.b.choices","Kasard district","",""
"9564b7256f5d4be4aafe17d109edaa5f","ThoridonThirdEraGoToLandmark.b.choices","R","",""
