"UUID","Context","Default","Translated","Notes"
"5f28e2597b5a4e4e890164c7ad758cfd","_UtilGetCharacterName.b.choices","None","",""
"c46481945cd64eb99f2e1ad3b0b7224b","_UtilGetCharacterName.b.choices","Kaidan","",""
"14136032ea614689937d0b345c99104f","_UtilGetCharacterName.b.choices","Solus","",""
"3315abe324a2474997e529f610f04d0e","_UtilGetCharacterName.b.choices","Rosan","",""
"1dd24d8588674d8db4ce435990dc552c","_UtilGetCharacterName.b.choices","Volar","",""
"031387f3dcf14ed3ab05099de45e3996","_UtilGetCharacterPronoun.b.b","him","",""
"c2112d804d8f43a8a99743e109dc9510","_UtilGetCharacterPronoun.b.b","he","",""
"82c0401fdc9643f781a45a3e4aa6ab60","_UtilGetCharacterPronoun.b.b","her","",""
"616964f50d5d4c658c8a824641d923cc","_UtilGetCharacterPronoun.b.b","she","",""
"dc089af464cd4212be17081d25e0e9c1","_UtilGetCharacterPronoun.b.b","them","",""
"d341d7ed1c28453090ed71da7d47fac7","_UtilGetCharacterPronoun.b.b","they","",""
"26823377a1ca47018cdb5f0b5db25ef5","KnowledgeInit.choices","Knowledge","",""
"bd148b2fda5149d98ce3cf025c7db732","KnowledgeInit.b.choices","Knowledge","",""
"a73e1c6dd0364206932c61e6eb756157","KnowledgeSet.choices","Knowledge","",""
"c5f03c4af83f45b88a02572417d8f6a7","KnowledgeIsKnown.choices","Knowledge","",""
"08d029e164f847b7aeaf9d6b54774815","FactionInit.choices","Factions","",""
"6254c41d83414a0cb0b1bfe2c4c6aeed","FactionInit.b.choices","Factions","",""
"bf2e80f2c9a3451a924becbaf23a9a44","FactionAddScore.choices","Factions","",""
"dbcd06a0620448d3babfaecf7449cf4c","FactionGetAlignment.choices","Factions","",""
