"UUID","Context","Default","Translated","Notes"
"f3ca6a0d7f344ffca055a753c593d1e5","_UtilGetCharacterName.b.choices","None","",""
"dcf8c2867d8247a689ae6ff6eb0831ef","_UtilGetCharacterName.b.choices","Kaidan","",""
"555066e2bad6430ab2a5b8f2d3f26b41","_UtilGetCharacterName.b.choices","Solus","",""
"b2a61fba5e80430980b8da8d503e2a8b","_UtilGetCharacterName.b.choices","Rosan","",""
"5d8ddfb707bb4aa1b8aa4713546410ad","_UtilGetCharacterName.b.choices","Volar","",""
"e63eff125bd14405ac781afc4464a8ed","_UtilGetCharacterPronoun.b.b","him","",""
"b66a8470aa544ca0917b8c25e613ec21","_UtilGetCharacterPronoun.b.b","he","",""
"d91f22be51df4c84afd157b4be7db09c","_UtilGetCharacterPronoun.b.b","her","",""
"623882cf51a7476dbf58f08ebcab5d2f","_UtilGetCharacterPronoun.b.b","she","",""
"348ee16c9b0d48f2a8982dbfb2375f86","_UtilGetCharacterPronoun.b.b","them","",""
"a32835c5e6994cb69e665d7c6870243b","_UtilGetCharacterPronoun.b.b","they","",""
"62c0ec3230db4f5292a5e33bd2e5508e","KnowledgeInit.choices","Knowledge","",""
"bbf86a864b814717887e5dabb3c3d16b","KnowledgeInit.b.choices","Knowledge","",""
"9480667d20b142d2a7baeb194d3dd08f","KnowledgeSet.choices","Knowledge","",""
"89630613e6bf48ab84d932646be4b986","KnowledgeIsKnown.choices","Knowledge","",""
"afa8d89c3b454df580f6762809a03dec","FactionInit.choices","Factions","",""
"287a5b85a65d4725ad433dab30a7532c","FactionInit.b.choices","Factions","",""
"8f013f1b74924a609d86380e957d2315","FactionAddScore.choices","Factions","",""
"bbd1c638edd34ef78e19f1fad2833bb0","FactionGetAlignment.choices","Factions","",""
