"UUID","Context","Default","Translated","Notes"
"e438f19ab4a94f49930c54150f78ed4e","debug_string_test","Length of string should be 6: ","",""
"3863bd57d68242cda0d14b1f628cdcf9","debug_string_test.choices","string","",""
"683cbf54b8b242f588057582a96e3879","debug_string_test","Length should be zero: ","",""
"2c556d54fbe948c79eb85748accd756d","debug_string_test","Character should be 'a' in 'character' at index 4: ","",""
"ca86f930d25c4c4080e6d33e7740d7a4","debug_string_test.choices","character","",""
"246169d145404a1abb427f093b757508","debug_string_test","Character should be 'r' in 'character' at index 8: ","",""
"51272b9ff01d4dce9986e00601bdbbc6","debug_string_test","Character should be empty in 'character' at index 99: ","",""
"3815b3ecf8bb47ecbbca21154e2a5aae","debug_string_test","Substring should be 'or' in 'word' from index 1, length 2: ","",""
"0c49460cd676437797609f8489e45c00","debug_string_test.choices","word","",""
"aed4a3963a5d47dfa1fe5eaf511f6640","debug_string_test","Substring should be 'ord' in 'word' from index 1: ","",""
"1dc1059299f847a196a40aab1ec886e1","debug_string_test","Substring should be 'ord' in 'word' from index 1, length 99: ","",""
"864d29901c6f4267a4f7b7aaab990474","debug_string_test","Substring should be empty in 'word' from index 99, length 99: ","",""
"01f84a4766874a4696b2b71c865cdec2","debug_string_test","Substring should be empty in 'word' from index 99: ","",""
"5fc8a0c9ec3f4f77bdabb7b08e113d68","debug_string_test","Integer char should be 65 from 'ABC' at index 0: ","",""
"924e6555023f41158dce92333834df6a","debug_string_test","Integer char should be 67 from 'ABC' at index 2: ","",""
"28d7d9974af144f8a2fddf3fcffe72d0","debug_string_test","Integer char should be zero from 'ABC' at index 99: ","",""
"db0b31096bf74c1d947ef55cec111b20","debug_string_test","Integer char should be something from '😊' at index 0: ","",""
"bcda37419f79492e942005f2436d869a","debug_array_test.choices","persist","",""
"06dec7fd5b6244e59104de8bdced737f","debug_array_test.choices","Hello","",""
"432601058f26421faf85818107300e2f","debug_array_test.choices","World","",""
"b9da6b54cce94ddba84db4116d92788b","debug_array_test","Test local get: ","",""
"a142ef94294f4213aba9feced3880280","debug_array_test","Test remove (should say Hello World): Hello ","",""
"ae1af682981c4cb890a7a2baac0de55d","debug_array_test","There are ","",""
"62fcb2d7c78141a28d88e3a4c77a760d","debug_array_test"," item(s) in the local test.","",""
"4845a2e89bbf4fd0b400338e1cadfd41","debug_array_test.choices","Hello!!","",""
"28a4e868b24f4d52b078bcde0e7f8b06","debug_array_test","Test set: ","",""
"f7a1ee74dbf84c83ab3b8d993981c108","debug_array_test.choices","Cat","",""
"a1ea6e14ba324013ae7fb98bb7b3a34e","debug_array_test.choices","Dog","",""
"1f9af51b2c104229aa7b95a358d8aef7","debug_array_test.choices","Bird","",""
"d563bacd11ab411b9c9f3f08f2face58","debug_array_test.choices","Elephant","",""
"9772c76c8781426d8ba80f2a59a3d210","debug_array_test.choices","Wolf","",""
"62e60d4cdb1d4d6b89d2dbd23cb4fa1e","debug_array_test","There should be 6 items: ","",""
"498d2ba730804a4ea3983c2bbd0bf3a0","debug_array_test","Item 5 should be wolf: ","",""
"ca20b715fe0043ad899595a66b6f668b","debug_array_test","Bird should be item 3: Bird is item... ","",""
"69ff00c5f67648f1bbb977d902105f6f","debug_array_test","Elephant should be gone: ","",""
"87a37770333c4c5cbcabf1bdfc195840","debug_array_test","Bird should not be anywhere (-1): Index position: ","",""
"6598b403f2a542feac70f227c2957a22","debug_array_test","This array does not exist so should be -1: ","",""
"0c8e64aac6c74f908d82b54f07b958a4","debug_array_test","Array deleted: ","",""
"86c998afe8ce471d83f54fb98d591e28","debug_array_test.choices","This is persistent","",""
"7c8b5bdbb34e49d98c8b4d12e4d87d9a","debug_array_test.choices","Persistent number 2","",""
"6f52fc46cb374e5c90a707c5b45446b9","debug_array_test.choices","HEY!!! 😀😆🥲🙂","",""
"8cca6bd2330b44bf9fb2346881f11b0d","debug_array_test","Count in persist: ","",""
"7f8e0649a9fa4ce0bfb3c017f0aecd6d","_UtilGetCharacterName.b.choices","None","",""
"44d30d38c14c48e686ec0b80f21cda98","_UtilGetCharacterName.b.choices","Kaidan","",""
"993b5143377f4a699571bd3c822f69d5","_UtilGetCharacterName.b.choices","Solus","",""
"6b406a3e96ab40fb90bf89c18df02e58","_UtilGetCharacterName.b.choices","Rosan","",""
"672f2e8b41bd418b97ce66e7e28f0f2c","_UtilGetCharacterName.b.choices","Volar","",""
"d9872a66e59844268466ec267af8a30d","_UtilGetCharacterPronoun.b.b","him","",""
"54fe4f04c8fb4c009e7a4c21a0277786","_UtilGetCharacterPronoun.b.b","he","",""
"e5826de619534cc599128c9cbfc358ea","_UtilGetCharacterPronoun.b.b","her","",""
"260560b84e9949fca503e86f721dc51e","_UtilGetCharacterPronoun.b.b","she","",""
"461ec30603d04f6082078a02ab4d40a2","_UtilGetCharacterPronoun.b.b","them","",""
"6efb35763dd0472e9ba2ee9cf3fb130d","_UtilGetCharacterPronoun.b.b","they","",""
"698f0f5609bf4fc091a1fc31d2722762","KnowledgeInit.choices","Knowledge","",""
"d4dc6136ca7a4f38862ceff904ebbe61","KnowledgeInit.b.choices","Knowledge","",""
"47ad76d5f65a4abb98dffe95ec3760d6","KnowledgeSet.choices","Knowledge","",""
"aa52df2075344f4b8c6e0ea349d116a2","KnowledgeIsKnown.choices","Knowledge","",""
"25c0ba8243264298b84b4ff11b54e6e4","FactionInit.choices","Factions","",""
"5b453f256aac4da6a0c4120a157051c1","FactionInit.b.choices","Factions","",""
"a848cbc1da024fc39f7bd92da3484f40","FactionAddScore.choices","Factions","",""
"fc6311e35ac24ae287b196e862b37368","FactionGetAlignment.choices","Factions","",""
