"UUID","Context","Default","Translated","Notes"
"d7ac3dcc44014e94b424d79de45dc1a8","_UtilGetCharacterName.b.choices","None","",""
"c040d3841a5049298eb36d6bb184b421","_UtilGetCharacterName.b.choices","Kaidan","",""
"7fbc46bf18b84bb4bab61ec43a9df0b1","_UtilGetCharacterName.b.choices","Solus","",""
"48b5d6c4568a4aaaa4c532acfda124d3","_UtilGetCharacterName.b.choices","Rosan","",""
"f48540a06c9d4a1a882e110526703a80","_UtilGetCharacterName.b.choices","Volar","",""
"61b3b2c9b7f144efbb6cce0ae6e7e750","_UtilGetCharacterPronoun.b.b","him","",""
"4cdc90e58ed944319f3f949765a76dc4","_UtilGetCharacterPronoun.b.b","he","",""
"54f8c3b253744f928a125c597c137aed","_UtilGetCharacterPronoun.b.b","her","",""
"669b697c1a334307a3dfb09393b18b1c","_UtilGetCharacterPronoun.b.b","she","",""
"fd734f64bde1436a81796e1ed562b91d","_UtilGetCharacterPronoun.b.b","them","",""
"45612769358449be9fdd73fb7a986210","_UtilGetCharacterPronoun.b.b","they","",""
"488e7bdc6c5446cc9bc45e263bbfb6e9","KnowledgeInit.choices","Knowledge","",""
"fbf2c36c9b064aa685ed7a8f815c3842","KnowledgeInit.b.choices","Knowledge","",""
"9277fb54e5b049fca37b2721ce53e643","KnowledgeSet.choices","Knowledge","",""
"be8f8aded5be4bc688089775f00113e4","KnowledgeIsKnown.choices","Knowledge","",""
"72be8e7b7b794a89a7914fd699c24dd2","FactionInit.choices","Factions","",""
"d577cad334c8459e9e69fb81105ddfad","FactionInit.b.choices","Factions","",""
"971161f1afc44dacb881a7c01700d858","FactionAddScore.choices","Factions","",""
"6ccf579c21f9430abfa264945865e661","FactionGetAlignment.choices","Factions","",""
"cf1d486f7aab4725a46d29ff0dfd3bbc","kaidan_chapter_01","What feels like years turns into seconds, and the harshness of reality suddenly becomes immediate for ","",""
"bebff4e2494841d486d27312c88beb9e","kaidan_chapter_01",". Gone are the pleasant and soothing images of light, replaced with confusing arrays of colour, depth, physical feelings and strange nasal stimuli, all of which becomes entirely overwhelming for the newborn Yolen.","",""
"ff4b423d1c1541a7b795a999bea009d4","kaidan_chapter_01","Solid knocking on wood makes itself dutifully noticeable. ","",""
"4ffc980cde2e47faa6bde148bdb69ba0","kaidan_chapter_01"," finds themselves in control of their first host, in what seems like being worlds away from the calm of the Synthetic Domain. Lying on a bed inside a bedroom, the Yolen's host is rudely awoken from a deep slumber by the noise emanating from the only door.","",""
