"UUID","Context","Default","Translated","Notes"
"71a1f06754f64237833930f8dc2a8a69","_UtilGetCharacterName.b.choices","None","",""
"532e27dec7f54ea48370556db03bc9ee","_UtilGetCharacterName.b.choices","Kaidan","",""
"46970f595d88435c9dcc4b5f58053610","_UtilGetCharacterName.b.choices","Solus","",""
"b7af3547dc9345c499cc229b63be75a3","_UtilGetCharacterName.b.choices","Rosan","",""
"ef151a91c5714388b2374979eda65106","_UtilGetCharacterName.b.choices","Volar","",""
"2be538d3e5ac4926808fea037639d88c","_UtilGetCharacterPronoun.b.b","him","",""
"9827c666c0414fe59d3d701fb6fa0904","_UtilGetCharacterPronoun.b.b","he","",""
"52f71e0b21bf462995ddcc9259d77b8c","_UtilGetCharacterPronoun.b.b","her","",""
"8c40fd472a14497aaac5f844a29f44ef","_UtilGetCharacterPronoun.b.b","she","",""
"f202027eee944a399bc7aa68dfc7eb24","_UtilGetCharacterPronoun.b.b","them","",""
"35664bf1a95f46a08fd86bd76dd4ea39","_UtilGetCharacterPronoun.b.b","they","",""
"6b0cfa0e76a544febdba18f411e3dfb6","KnowledgeInit.choices","Knowledge","",""
"12e9fc9846104ecdbae37091978f9009","KnowledgeInit.b.choices","Knowledge","",""
"83adcc1aab8c42c487f4000404987717","KnowledgeSet.choices","Knowledge","",""
"196d66b01f9b4031b965cb2858ced4af","KnowledgeIsKnown.choices","Knowledge","",""
"a64ff0b432264852b5cfb07e6623dcc9","FactionInit.choices","Factions","",""
"de8c8fd1dd63492fbe4a8b8fe46c87e1","FactionInit.b.choices","Factions","",""
"0424cf91514646a59a3e72263b388868","FactionAddScore.choices","Factions","",""
"66e3781fd86b452e923f445d5acd49db","FactionGetAlignment.choices","Factions","",""
